"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2018","139.20","139.50","140.00","139.00","2.44K","-0.07%"
"Nov 06, 2018","139.30","141.20","141.80","138.80","20.23K","-1.21%"
"Nov 05, 2018","141.00","145.20","145.95","140.40","26.85K","-3.26%"
"Nov 02, 2018","145.75","143.00","146.80","142.60","32.45K","1.75%"
"Nov 01, 2018","143.25","142.95","144.20","142.45","25.99K","3.13%"
"Oct 31, 2018","138.90","141.70","142.15","138.00","10.89K","-1.56%"
"Oct 30, 2018","141.10","143.90","144.00","139.80","21.37K","-1.54%"
"Oct 29, 2018","143.30","145.40","145.65","143.10","14.73K","-1.38%"
"Oct 26, 2018","145.30","146.30","146.35","144.95","19.19K","-0.45%"
"Oct 25, 2018","145.95","146.70","147.25","145.60","19.71K","-0.24%"
"Oct 24, 2018","146.30","147.05","147.60","145.30","20.93K","-0.07%"
"Oct 23, 2018","146.40","146.00","147.60","146.00","23.38K","-0.20%"
"Oct 22, 2018","146.70","146.65","148.05","145.60","26.99K","0.51%"
"Oct 19, 2018","145.95","146.75","146.75","144.20","27.81K","-0.55%"
"Oct 18, 2018","146.75","148.05","148.35","146.20","16.68K","-1.71%"
"Oct 17, 2018","149.30","150.75","151.85","148.10","37.18K","-1.06%"
"Oct 16, 2018","150.90","154.20","154.70","150.25","37.92K","-2.17%"
"Oct 15, 2018","154.25","151.90","156.35","151.85","43.65K","1.31%"
"Oct 12, 2018","152.25","148.35","154.75","147.80","53.80K","2.32%"
"Oct 11, 2018","148.80","141.65","149.25","139.80","61.47K","4.57%"
"Oct 10, 2018","142.30","143.85","144.40","141.20","38.84K","-0.80%"
"Oct 09, 2018","143.45","147.15","149.30","142.70","47.36K","-1.91%"
"Oct 08, 2018","146.25","147.20","148.20","146.00","27.16K","-1.12%"
"Oct 05, 2018","147.90","147.35","148.40","146.65","29.71K","0.37%"
"Oct 04, 2018","147.35","150.50","151.80","147.05","37.13K","-1.86%"
"Oct 03, 2018","150.15","149.65","151.30","147.80","35.77K","0.94%"
"Oct 01, 2018","148.75","148.10","150.30","147.30","33.04K","2.16%"
"Sep 28, 2018","145.60","144.90","145.95","144.80","9.38K","0.69%"
"Sep 27, 2018","144.60","143.20","144.85","142.20","26.98K","0.49%"
"Sep 26, 2018","143.90","145.40","146.40","143.20","30.98K","-1.10%"
"Sep 25, 2018","145.50","147.00","148.00","145.25","27.78K","-1.22%"
"Sep 24, 2018","147.30","146.90","150.45","146.80","29.11K","-0.34%"
"Sep 21, 2018","147.80","144.50","148.70","144.30","39.04K","2.71%"
"Sep 20, 2018","143.90","145.45","145.45","143.15","20.30K","-0.96%"
"Sep 19, 2018","145.30","150.50","150.70","144.85","38.95K","-3.20%"
"Sep 18, 2018","150.10","149.05","150.45","147.70","35.30K","0.17%"
"Sep 17, 2018","149.85","146.05","150.15","146.05","34.02K","2.29%"
"Sep 14, 2018","146.50","146.70","148.30","145.65","34.30K","0.27%"
"Sep 13, 2018","146.10","146.80","148.30","145.65","21.14K","-0.03%"
"Sep 12, 2018","146.15","143.20","146.50","143.20","36.32K","2.35%"
"Sep 11, 2018","142.80","146.00","146.00","142.00","40.18K","-2.49%"
"Sep 10, 2018","146.45","148.35","151.20","146.20","41.62K","-1.25%"
"Sep 07, 2018","148.30","146.50","149.25","145.60","34.84K","1.02%"
"Sep 06, 2018","146.80","147.20","149.15","145.80","31.48K","0.31%"
"Sep 05, 2018","146.35","148.45","150.25","146.15","30.04K","-1.05%"
"Sep 04, 2018","147.90","151.00","151.45","147.75","30.87K","-2.28%"
"Sep 03, 2018","151.35","147.50","151.70","147.10","33.63K","3.52%"
"Aug 31, 2018","146.20","146.80","148.20","146.05","7.68K","0.24%"
"Aug 30, 2018","145.85","146.50","148.00","144.80","20.58K","-0.31%"
"Aug 29, 2018","146.30","144.80","146.45","144.80","20.33K","1.04%"
"Aug 28, 2018","144.80","145.60","146.85","144.70","21.13K","-0.21%"
"Aug 27, 2018","145.10","144.90","145.55","144.75","7.59K","0.35%"
"Aug 24, 2018","144.60","144.85","146.30","144.30","24.81K","0.28%"
"Aug 23, 2018","144.20","140.65","144.50","139.80","33.45K","2.85%"
"Aug 22, 2018","140.20","140.05","140.55","139.50","11.01K","0.21%"
"Aug 21, 2018","139.90","138.10","140.60","137.85","28.66K","1.67%"
"Aug 20, 2018","137.60","139.65","140.45","137.25","27.60K","-1.29%"
"Aug 17, 2018","139.40","140.30","140.75","138.70","35.07K","-0.57%"
"Aug 16, 2018","140.20","144.05","144.05","139.10","39.02K","-3.21%"
"Aug 14, 2018","144.85","147.40","148.00","144.50","24.05K","-1.73%"
"Aug 13, 2018","147.40","145.10","148.40","144.60","32.38K","1.73%"
"Aug 10, 2018","144.90","145.00","145.70","144.10","26.56K","0.21%"
"Aug 09, 2018","144.60","146.50","148.60","144.30","32.74K","-1.20%"
"Aug 08, 2018","146.35","147.75","148.00","146.10","24.87K","-0.44%"
"Aug 07, 2018","147.00","145.80","147.70","145.80","26.64K","0.86%"
"Aug 06, 2018","145.75","145.15","146.15","143.15","33.10K","0.28%"
"Aug 03, 2018","145.35","145.70","147.35","144.50","36.23K","-0.68%"
"Aug 02, 2018","146.35","145.80","148.40","145.10","32.49K","0.55%"
"Aug 01, 2018","145.55","147.60","147.75","145.15","23.46K","-1.62%"
"Jul 31, 2018","147.95","146.80","148.65","146.20","8.79K","0.54%"
"Jul 30, 2018","147.15","145.90","147.40","144.55","21.95K","0.79%"
"Jul 27, 2018","146.00","147.70","147.70","145.65","22.65K","-1.28%"
"Jul 26, 2018","147.90","147.35","148.30","146.75","23.10K","0.61%"
"Jul 25, 2018","147.00","147.70","148.75","145.25","34.06K","-0.17%"
"Jul 24, 2018","147.25","146.15","149.20","145.70","27.38K","0.86%"
"Jul 23, 2018","146.00","146.70","148.70","145.55","27.01K","-0.24%"
"Jul 20, 2018","146.35","146.10","147.40","145.05","26.74K","0.00%"
"Jul 19, 2018","146.35","147.90","148.65","144.05","31.30K","-0.95%"
"Jul 18, 2018","147.75","148.50","148.90","145.65","31.18K","-0.30%"
"Jul 17, 2018","148.20","148.30","149.60","147.25","23.30K","0.07%"
"Jul 16, 2018","148.10","149.95","150.75","147.85","20.21K","-1.89%"
"Jul 13, 2018","150.95","149.45","151.40","148.40","30.50K","0.43%"
"Jul 12, 2018","150.30","151.00","152.45","146.10","44.29K","-0.63%"
"Jul 11, 2018","151.25","158.05","158.05","150.20","29.46K","-4.84%"
"Jul 10, 2018","158.95","160.70","160.90","156.55","26.75K","-0.87%"
"Jul 09, 2018","160.35","161.90","163.05","160.20","23.05K","-0.74%"
"Jul 06, 2018","161.55","162.00","162.60","160.10","25.48K","-0.98%"
"Jul 05, 2018","163.15","160.85","163.85","159.50","29.98K","1.65%"
"Jul 04, 2018","160.50","164.25","164.50","159.05","23.01K","-2.31%"
"Jul 03, 2018","164.30","164.95","165.80","163.80","16.30K","-0.27%"
"Jul 02, 2018","164.75","165.50","166.80","164.20","20.81K","-1.47%"
"Jun 29, 2018","167.20","165.70","167.40","164.80","6.02K","1.21%"
"Jun 28, 2018","165.20","167.60","167.70","164.40","17.08K","-1.20%"
"Jun 27, 2018","167.20","165.35","168.00","164.80","18.19K","1.49%"
"Jun 26, 2018","164.75","163.65","165.10","163.10","17.42K","0.37%"
"Jun 25, 2018","164.15","164.70","165.35","163.00","18.72K","0.12%"
"Jun 22, 2018","163.95","161.50","164.45","160.70","17.84K","1.30%"
"Jun 21, 2018","161.85","163.95","164.05","160.10","19.04K","-1.07%"
"Jun 20, 2018","163.60","164.25","164.55","162.75","15.68K","-0.27%"
"Jun 19, 2018","164.05","165.40","166.20","163.75","20.30K","-1.06%"
"Jun 18, 2018","165.80","163.60","166.10","162.40","22.31K","1.22%"
"Jun 15, 2018","163.80","166.70","167.20","163.55","18.72K","-1.56%"
"Jun 14, 2018","166.40","167.05","167.60","165.40","18.61K","-0.75%"
"Jun 13, 2018","167.65","166.70","169.35","166.60","23.49K","0.66%"
"Jun 12, 2018","166.55","167.70","168.45","166.35","18.93K","-0.45%"
"Jun 11, 2018","167.30","167.45","168.25","166.50","21.27K","0.39%"
"Jun 08, 2018","166.65","168.30","168.80","166.50","27.04K","-1.22%"
"Jun 07, 2018","168.70","169.40","171.60","168.35","30.49K","-0.38%"
"Jun 06, 2018","169.35","168.55","169.60","167.55","21.88K","0.50%"
"Jun 05, 2018","168.50","168.10","170.35","168.00","24.82K","0.15%"
"Jun 04, 2018","168.25","164.50","168.60","163.50","27.53K","2.03%"
"Jun 01, 2018","164.90","165.65","165.70","163.05","19.86K","-0.09%"
"May 31, 2018","165.05","163.70","165.45","163.70","7.30K","0.36%"
"May 30, 2018","164.45","163.85","164.85","162.75","21.01K","-0.21%"
"May 29, 2018","164.80","165.00","167.00","164.25","27.63K","0.43%"
"May 28, 2018","164.10","165.80","166.15","161.75","10.84K","-0.21%"
"May 25, 2018","164.45","169.70","170.80","164.20","35.11K","-3.52%"
"May 24, 2018","170.45","169.25","171.70","169.25","30.63K","1.01%"
"May 23, 2018","168.75","167.30","169.25","166.85","31.93K","0.42%"
"May 22, 2018","168.05","163.50","168.50","163.50","36.20K","2.31%"
"May 21, 2018","164.25","159.00","164.50","157.65","35.06K","3.53%"
