"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 07, 2018","182.10","182.80","182.85","182.00","3.05K","-0.87%"
"Nov 06, 2018","183.70","187.00","188.40","183.45","35.71K","-1.66%"
"Nov 05, 2018","186.80","188.95","189.15","185.20","37.92K","-0.98%"
"Nov 02, 2018","188.65","188.00","192.15","187.55","45.65K","0.00%"
"Nov 01, 2018","188.65","187.80","190.80","187.40","41.20K","-1.36%"
"Oct 31, 2018","191.25","192.75","194.35","190.50","14.68K","-0.23%"
"Oct 30, 2018","191.70","196.40","196.70","191.20","36.49K","-2.29%"
"Oct 29, 2018","196.20","198.15","198.75","196.00","33.09K","-1.13%"
"Oct 26, 2018","198.45","197.30","198.70","195.30","35.06K","0.30%"
"Oct 25, 2018","197.85","198.35","198.70","195.60","35.52K","-0.58%"
"Oct 24, 2018","199.00","200.95","202.90","198.30","45.57K","-0.33%"
"Oct 23, 2018","199.65","199.50","200.80","198.00","48.22K","-0.30%"
"Oct 22, 2018","200.25","197.15","200.40","197.10","42.43K","1.83%"
"Oct 19, 2018","196.65","199.80","200.85","196.25","41.93K","-1.85%"
"Oct 18, 2018","200.35","198.35","200.90","198.00","29.38K","0.50%"
"Oct 17, 2018","199.35","194.50","199.70","193.70","57.75K","2.86%"
"Oct 16, 2018","193.80","194.10","195.10","191.85","41.71K","-0.21%"
"Oct 15, 2018","194.20","197.20","199.15","193.80","44.98K","-1.77%"
"Oct 12, 2018","197.70","197.00","199.65","195.55","48.30K","0.69%"
"Oct 11, 2018","196.35","196.00","198.30","193.75","54.49K","0.05%"
"Oct 10, 2018","196.25","202.25","203.25","195.70","49.62K","-3.28%"
"Oct 09, 2018","202.90","198.40","204.45","198.40","54.65K","2.29%"
"Oct 08, 2018","198.35","197.15","198.75","193.30","48.80K","0.18%"
"Oct 05, 2018","198.00","195.05","198.30","193.75","47.48K","1.15%"
"Oct 04, 2018","195.75","199.00","200.30","195.45","49.70K","-1.95%"
"Oct 03, 2018","199.65","196.80","199.90","194.45","58.73K","1.27%"
"Oct 01, 2018","197.15","191.75","197.50","190.40","56.97K","5.63%"
"Sep 28, 2018","186.65","185.30","186.90","184.70","15.36K","1.33%"
"Sep 27, 2018","184.20","184.75","186.90","182.45","42.90K","-0.91%"
"Sep 26, 2018","185.90","183.45","186.10","182.10","43.16K","1.36%"
"Sep 25, 2018","183.40","183.20","185.20","181.80","41.05K","-0.22%"
"Sep 24, 2018","183.80","181.00","186.75","180.40","42.26K","0.82%"
"Sep 21, 2018","182.30","177.00","183.70","176.15","52.09K","3.14%"
"Sep 20, 2018","176.75","175.00","176.90","174.85","21.99K","1.38%"
"Sep 19, 2018","174.35","172.20","176.00","172.20","49.47K","1.45%"
"Sep 18, 2018","171.85","169.00","172.10","168.90","43.86K","2.02%"
"Sep 17, 2018","168.45","166.60","168.70","166.35","42.38K","1.29%"
"Sep 14, 2018","166.30","168.90","170.30","166.00","49.88K","-1.28%"
"Sep 13, 2018","168.45","171.80","172.40","168.20","29.28K","-2.32%"
"Sep 12, 2018","172.45","169.95","172.70","169.60","53.60K","2.07%"
"Sep 11, 2018","168.95","173.00","173.35","168.50","50.41K","-2.17%"
"Sep 10, 2018","172.70","174.45","175.95","172.40","44.44K","-0.66%"
"Sep 07, 2018","173.85","176.00","176.25","173.35","55.10K","-1.50%"
"Sep 06, 2018","176.50","175.45","178.95","175.45","49.22K","1.20%"
"Sep 05, 2018","174.40","173.30","176.25","173.10","38.35K","0.63%"
"Sep 04, 2018","173.30","176.45","177.30","172.75","45.68K","-1.79%"
"Sep 03, 2018","176.45","176.00","177.15","174.15","33.05K","-0.42%"
"Aug 31, 2018","177.20","176.00","178.90","176.00","14.70K","1.29%"
"Aug 30, 2018","174.95","177.55","178.35","173.30","41.57K","-1.69%"
"Aug 29, 2018","177.95","177.30","178.45","175.75","40.97K","0.14%"
"Aug 28, 2018","177.70","178.85","180.50","177.50","41.54K","-0.28%"
"Aug 27, 2018","178.20","178.00","178.75","176.90","14.18K","0.11%"
"Aug 24, 2018","178.00","174.70","178.80","174.30","50.83K","2.15%"
"Aug 23, 2018","174.25","171.95","174.50","171.15","39.82K","0.69%"
"Aug 22, 2018","173.05","171.65","173.25","170.65","24.34K","1.26%"
"Aug 21, 2018","170.90","167.45","171.65","167.45","50.55K","2.30%"
"Aug 20, 2018","167.05","167.00","168.60","165.85","42.00K","-0.57%"
"Aug 17, 2018","168.00","168.40","168.45","163.85","57.13K","0.66%"
"Aug 16, 2018","166.90","171.50","171.50","164.90","66.46K","-2.82%"
"Aug 14, 2018","171.75","173.75","174.85","171.55","45.65K","-1.12%"
"Aug 13, 2018","173.70","176.60","178.40","173.45","51.80K","-1.53%"
"Aug 10, 2018","176.40","180.45","180.45","176.20","48.06K","-1.92%"
"Aug 09, 2018","179.85","180.85","185.15","179.65","46.41K","-0.64%"
"Aug 08, 2018","181.00","180.80","182.15","180.35","36.49K","0.25%"
"Aug 07, 2018","180.55","178.70","181.15","178.70","36.60K","1.09%"
"Aug 06, 2018","178.60","180.20","180.30","177.10","39.18K","-1.13%"
"Aug 03, 2018","180.65","177.90","182.05","176.60","53.52K","1.52%"
"Aug 02, 2018","177.95","175.95","178.85","174.40","46.58K","1.45%"
"Aug 01, 2018","175.40","181.10","181.10","175.05","51.70K","-2.85%"
"Jul 31, 2018","180.55","178.90","181.70","178.30","17.34K","1.40%"
"Jul 30, 2018","178.05","179.80","179.80","176.60","39.41K","-1.33%"
"Jul 27, 2018","180.45","179.30","181.00","177.70","37.18K","0.33%"
"Jul 26, 2018","179.85","179.60","180.95","178.50","38.74K","0.03%"
"Jul 25, 2018","179.80","180.90","182.40","179.10","48.90K","-0.72%"
"Jul 24, 2018","181.10","178.00","183.30","177.45","50.58K","2.11%"
"Jul 23, 2018","177.35","180.95","181.80","177.20","46.91K","-1.14%"
"Jul 20, 2018","179.40","178.80","182.50","177.30","57.60K","0.17%"
"Jul 19, 2018","179.10","180.60","181.35","174.00","66.78K","-1.16%"
"Jul 18, 2018","181.20","171.85","181.45","171.85","63.99K","4.71%"
"Jul 17, 2018","173.05","171.00","174.80","170.90","51.44K","1.32%"
"Jul 16, 2018","170.80","178.50","178.60","170.45","52.50K","-3.94%"
"Jul 13, 2018","177.80","176.30","178.15","174.40","45.32K","0.51%"
